video,distortion,trend,severity,error,error_pct,tp,fp,fn,ssim,psnr
0002,contrast_fade,rises,0.3,0.5073839662447257,50.73839662447257,1401,178,1265,0.8849333817065314,17.862896222818875
0002,contrast_fade,rises,0.2,0.6663070837828119,66.63070837828118,928,115,1738,0.8520121880961403,16.70281707923711
0002,contrast_fade,rises,0.1,0.9289940828402367,92.89940828402366,192,38,2474,0.8165050399224902,15.68042420256834
0002,disparity_scale,flat,1.0,0.0,0.0,2666,0,0,1.0,inf
0002,disparity_scale,flat,1.01,0.2893772893772894,28.93772893772894,2134,337,532,0.8970439887680455,29.082235931904616
0002,disparity_scale,flat,1.02,0.31708860759493673,31.708860759493675,2158,494,508,0.8489826265786569,26.448075598149593
0002,disparity_scale,flat,1.03,0.31727037516170764,31.727037516170764,2111,426,555,0.8292714412705803,25.099225851156433
0002,disparity_scale,flat,1.05,0.32323568575233025,32.323568575233026,2033,338,633,0.8088485791081834,23.386926860595487
0002,disparity_scale,flat,1.08,0.34382402707275805,34.38240270727581,1939,289,727,0.7956126041780472,21.97879097697009
0002,disparity_scale,flat,1.1,0.35274652547981467,35.27465254798147,1956,356,710,0.7905701130255176,21.364962480498978
0002,disparity_scale,flat,1.15,0.39139274822094205,39.13927482209421,1796,285,870,0.779719173973516,20.13244109403786
0002,disparity_scale,flat,1.2,0.41912268677176145,41.912268677176144,1695,252,971,0.7689875685138483,19.151180091381107
0002,disparity_scale,flat,1.3,0.497742271622091,49.7742271622091,1446,213,1220,0.7598255616215476,17.734586513326356
0002,downscale_upscale,rises,1.0,0.0,0.0,2666,0,0,1.0,inf
0002,downscale_upscale,rises,0.9,0.35244233378561735,35.24423337856174,1909,282,757,0.9817385144292976,39.50673025073285
0002,downscale_upscale,rises,0.8,0.35509227614490774,35.509227614490776,1887,260,779,0.9773503980622049,38.53300283237655
0002,downscale_upscale,rises,0.7,0.3938885157824043,39.38885157824043,1805,312,861,0.9713684417697515,37.46630155609949
0002,downscale_upscale,rises,0.6,0.4409687184661958,44.09687184661958,1662,307,1004,0.963554515595025,36.34530423503922
0002,downscale_upscale,rises,0.5,0.49643947100712105,49.643947100712104,1485,283,1181,0.9548061335345406,35.31124938585602
0002,downscale_upscale,rises,0.4,0.6225761772853186,62.257617728531855,1090,222,1576,0.937446045837107,33.806787379733095
0002,downscale_upscale,rises,0.3,0.8002853067047075,80.02853067047076,560,138,2106,0.91798684285728,32.45691120595447
0002,downscale_upscale,rises,0.25,0.864816149963951,86.4816149963951,375,108,2291,0.9072532419396524,31.77007534643379
0002,downscale_upscale,rises,0.2,0.912837345003647,91.2837345003647,239,76,2427,0.8940299596412077,30.943006335978993
0002,downscale_upscale,rises,0.15,0.955268022181146,95.5268022181146,121,39,2545,0.8820795710974481,30.10087214963891
0002,downscale_upscale,rises,0.1,0.9765537774469669,97.6553777446967,63,21,2603,0.8713312052530081,28.99994369836435
0002,elastic_warp,rises,0.0,0.0,0.0,2666,0,0,1.0,inf
0002,elastic_warp,rises,0.5,0.30129267484255884,30.129267484255884,2108,351,558,0.9656354229209732,35.75618281776448
0002,elastic_warp,rises,1.0,0.33533133533133536,33.53313353313354,1996,337,670,0.9247965531779043,31.63594595150605
0002,elastic_warp,rises,2.0,0.5003436426116838,50.034364261168385,1454,244,1212,0.8770579145035738,28.525172654296572
0002,elastic_warp,rises,3.0,0.6153314917127072,61.533149171270715,1114,230,1552,0.8538509866515811,26.996288219104123
